strategy,window,trade_no,true_alpha,q25_alpha_estimate,median_alpha_estimate,q75_alpha_estimate,median_spread
full-history,0,83,0.050000000000000003,0.090577721679730633,0.10532627533526073,0.13180426100410189,1.2991385935444839
full-history,0,84,0.050000000000000003,0.092676091725473628,0.099899737674001787,0.13877451204623104,1.4002146544713838
full-history,0,85,0.050000000000000003,0.089729812248318705,0.1038853060512247,0.13351961860069778,1.293467103060749
full-history,0,86,0.050000000000000003,0.09174578911708231,0.10839615414913205,0.13604865552344381,1.1828004864396746
full-history,0,87,0.050000000000000003,0.088918185456851651,0.10251543046981115,0.14313764266170509,1.2879063010251031
full-history,0,88,0.050000000000000003,0.090856510634895388,0.10685786520397174,0.13346345578552857,1.1791498322099585
full-history,0,89,0.050000000000000003,0.088140560248886266,0.10121167743785786,0.14031603211271879,1.2824571596373318
full-history,0,90,0.050000000000000003,0.090005615055041344,0.10539469947338853,0.13100913496460459,1.1755193222672347
full-history,0,91,0.050000000000000003,0.087394844805875935,0.099969521839319758,0.13763558545930929,1.2771199914830476
full-history,0,92,0.050000000000000003,0.089190684335907502,0.10400150881104689,0.12867675318770172,1.1719152867998019
full-history,0,93,0.050000000000000003,0.086679117130388977,0.098784836361739708,0.13508685767285322,1.2718945675265729
full-history,0,94,0.050000000000000003,0.088409500417570411,0.10267359524701168,0.12645812642038562,1.1683430302962492
full-history,0,95,0.050000000000000003,0.085991607980659412,0.097653849267343648,0.13266117996739249,1.2667802154888363
full-history,0,96,0.050000000000000003,0.087660024855450325,0.1014066637110739,0.12434575264175114,1.164806974669915
full-history,0,97,0.050000000000000003,0.085330685831271472,0.096573107342870904,0.1303505870987518,1.2617759020452723
full-history,0,98,0.050000000000000003,0.086940380894634309,0.1001967804576787,0.12591640442098848,1.1613107816739188
full-history,0,99,0.050000000000000003,0.084694843584678672,0.09553944332227346,0.12814775161017394,1.2568803016238519
full-history,0,100,0.40000000000000002,0.086248837651613175,0.099040336435616064,0.13427136110727994,1.1578574578672516
full-history,0,101,0.40000000000000002,0.084082686799876238,0.094549947179131205,0.12604592453996907,1.2520918540653554
